Property Code,Owner / Broker,Owner Name,Number,City,Loatlity,Actucally Locaion,Property Type,Sqft Areas,Price,Potral,possession
G88429234,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-ascend-kolshet-road-thane-761-sq-ft-spid-G88429234,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-ascend-kolshet-road-thane-761-sq-ft-spid-G88429234,Thane,Kolshet Road,Godrej Ascend,3 BHK Flat,761 sqft,₹1.8 Cr,99acres,N/A
K86243332,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-lodha-sterling-thane-west-mumbai-1100-sq-ft-r2-spid-K86243332,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-lodha-sterling-thane-west-mumbai-1100-sq-ft-r2-spid-K86243332,Thane,Thane West,Lodha Sterling,3 BHK Flat,"1,100 sqft",₹2.4 Cr,99acres,N/A
I87752706,Owner,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-solitaire-b-thane-west-mumbai-404-sq-ft-spid-I87752706,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-solitaire-b-thane-west-mumbai-404-sq-ft-spid-I87752706,Thane,Thane West,Hiranandani Solitaire B,1 BHK Flat,404 sqft,₹1.05 Cr,99acres,N/A
R86127796,Owner,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lodha-amara-kolshet-road-thane-380-sq-ft-r1-spid-R86127796,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lodha-amara-kolshet-road-thane-380-sq-ft-r1-spid-R86127796,Thane,Kolshet Road,Lodha Amara,1 BHK Flat,380 sqft,₹85 Lac,99acres,N/A
O85113398,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-puraniks-city-reserva-ghodbunder-road-mumbai-thane-640-sq-ft-spid-O85113398,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-puraniks-city-reserva-ghodbunder-road-mumbai-thane-640-sq-ft-spid-O85113398,Thane,Ghodbunder Road,Puraniks City Reserva,2 BHK Flat,640 sqft,₹1.3 Cr,99acres,N/A
I85057836,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-piramal-vaikunth-balkum-mumbai-thane-1050-sq-ft-spid-I85057836,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-piramal-vaikunth-balkum-mumbai-thane-1050-sq-ft-spid-I85057836,Thane,Balkum,Piramal Vaikunth,2 BHK Flat,"1,050 sqft",₹2.25 Cr,99acres,N/A
C88154662,Owner,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-sale-in-majiwada-mumbai-thane-317-sq-ft-spid-C88154662,https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-sale-in-majiwada-mumbai-thane-317-sq-ft-spid-C88154662,Thane,Majiwada,tower 4 lodha crown city,1 BHK Independent Builder Floor,317 sqft,₹70 Lac,99acres,N/A
B87815680,Owner,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bhakti-park-sai-nagar-thane-580-sq-ft-spid-B87815680,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-bhakti-park-sai-nagar-thane-580-sq-ft-spid-B87815680,Thane,Sai Nagar,Bhakti Park,1 BHK Flat,580 sqft,₹67 Lac,99acres,N/A
T88364698,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-amara-casa-celeste-kolshet-road-thane-659-sq-ft-spid-T88364698,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-amara-casa-celeste-kolshet-road-thane-659-sq-ft-spid-T88364698,Thane,Kolshet Road,Lodha Amara Casa Celeste,2 BHK Flat,659 sqft,₹1.1 Cr,99acres,N/A
R82562300,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-splendora-ghodbunder-road-mumbai-thane-782-sq-ft-spid-R82562300,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-splendora-ghodbunder-road-mumbai-thane-782-sq-ft-spid-R82562300,Thane,Ghodbunder Road,Lodha Splendora,2 BHK Flat,782 sqft,₹1.3 Cr,99acres,N/A
C78965995,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-amara-kolshet-road-thane-672-sq-ft-r1-spid-C78965995,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-amara-kolshet-road-thane-672-sq-ft-r1-spid-C78965995,Thane,Kolshet Road,Lodha Amara,2 BHK Flat,672 sqft,₹1.42 Cr,99acres,N/A
E85378146,Owner,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-crown-hiranandani-estate-mumbai-thane-600-sq-ft-spid-E85378146,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-crown-hiranandani-estate-mumbai-thane-600-sq-ft-spid-E85378146,Thane,Hiranandani Estate,Hiranandani Crown,1 BHK Flat,600 sqft,₹1.2 Cr,99acres,N/A
P87744468,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pakhadi-thane-700-sq-ft-spid-P87744468,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pakhadi-thane-700-sq-ft-spid-P87744468,Thane,Pakhadi,Glenmor residency,2 BHK Flat,700 sqft,₹1.3 Cr,99acres,N/A
S89058814,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kasheli-thane-800-sq-ft-spid-S89058814,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kasheli-thane-800-sq-ft-spid-S89058814,Thane,Kasheli,Padmavati Estate kasheli,2 BHK Flat,800 sqft,₹55 Lac,99acres,N/A
T88517100,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-accolade-chs-louis-wadi-mumbai-thane-1301-sq-ft-spid-T88517100,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-accolade-chs-louis-wadi-mumbai-thane-1301-sq-ft-spid-T88517100,Thane,Louis Wadi,Accolade CHS,3 BHK Flat,"1,301 sqft",₹2.79 Cr,99acres,N/A
N87380922,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-sterling-thane-west-mumbai-868-sq-ft-spid-N87380922,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lodha-sterling-thane-west-mumbai-868-sq-ft-spid-N87380922,Thane,Thane West,Lodha Sterling,2 BHK Flat,868 sqft,₹2.15 Cr,99acres,N/A
G85018630,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-runwal-estate-dhokali-naka-mumbai-thane-910-sq-ft-spid-G85018630,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-runwal-estate-dhokali-naka-mumbai-thane-910-sq-ft-spid-G85018630,Thane,Dhokali,Runwal Estate,2 BHK Flat,910 sqft,₹1.25 Cr,99acres,N/A
Q84506452,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vikrant-apartment-manisha-nagar-thane-850-sq-ft-spid-Q84506452,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vikrant-apartment-manisha-nagar-thane-850-sq-ft-spid-Q84506452,Thane,Manisha nagar,Vikrant Apartment,3 BHK Flat,850 sqft,₹1.39 Cr,99acres,N/A
Z88936948,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sheth-zuri-laxmi-nagar-mumbai-thane-650-sq-ft-spid-Z88936948,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sheth-zuri-laxmi-nagar-mumbai-thane-650-sq-ft-spid-Z88936948,Thane,Laxmi Nagar,Sheth Zuri,2 BHK Flat,650 sqft,₹1.79 Cr,99acres,N/A
U88134768,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-lodha-sterling-kolshet-road-thane-968-sq-ft-spid-U88134768,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-lodha-sterling-kolshet-road-thane-968-sq-ft-spid-U88134768,Thane,Kolshet Road,Lodha Sterling,3 BHK Flat,968 sqft,₹2.3 Cr,99acres,N/A
N87479788,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-paramount-balkum-mumbai-thane-711-sq-ft-spid-N87479788,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-paramount-balkum-mumbai-thane-711-sq-ft-spid-N87479788,Thane,Balkum,Kalpataru Paramount,2 BHK Flat,711 sqft,₹1.7 Cr,99acres,N/A
U83779642,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nirmal-jeevan-chs-kopri-colony-mumbai-thane-1075-sq-ft-spid-U83779642,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nirmal-jeevan-chs-kopri-colony-mumbai-thane-1075-sq-ft-spid-U83779642,Thane,Kopri,Nirmal Jeevan CHS,2 BHK Flat,"1,075 sqft",₹1.45 Cr,99acres,N/A
W88674856,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahavir-square-thane-west-mumbai-1027-sq-ft-spid-W88674856,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahavir-square-thane-west-mumbai-1027-sq-ft-spid-W88674856,Thane,Thane West,Mahavir Square,3 BHK Flat,"1,027 sqft",₹2.4 Cr,99acres,N/A
H88953992,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-piramal-vaikunth-balkum-mumbai-thane-568-sq-ft-spid-H88953992,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-piramal-vaikunth-balkum-mumbai-thane-568-sq-ft-spid-H88953992,Thane,Balkum,Piramal Vaikunth,2 BHK Flat,568 sqft,₹1.35 Cr,99acres,N/A
H88146620,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-woodpark-hiranandani-estate-mumbai-thane-1048-sq-ft-spid-H88146620,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-woodpark-hiranandani-estate-mumbai-thane-1048-sq-ft-spid-H88146620,Thane,Hiranandani Estate,Hiranandani Woodpark,2 BHK Flat,"1,048 sqft",₹1.92 Cr,99acres,N/A
